name,categories,lat,lng,id,Neighborhood,Neighborhood Lat,Neighborhood Long
Lucca,Italian Restaurant,45.54816735218499,-122.6413745469026,4a8cb082f964a520e60e20e3,ALAMEDA,45.5486307,-122.6364806
Mojo Sushi,Sushi Restaurant,45.548351228068874,-122.65016234404838,4cd0b8fb6200b1f71925d628,ALAMEDA,45.5486307,-122.6364806
Kargi Gogo,Dumpling Restaurant,45.559112952881435,-122.63403785520845,5b1b270795d986002ce0fee5,ALAMEDA,45.5486307,-122.6364806
Pine State Biscuits,Southern / Soul Food Restaurant,45.55898095207831,-122.64269696082306,4c38a007dfb0e21efbdeaea8,ALAMEDA,45.5486307,-122.6364806
Urdaneta,Tapas Restaurant,45.559135527978405,-122.6341192448269,5786bc45498e6ad53328f935,ALAMEDA,45.5486307,-122.6364806
Brew Dr. Teahouse - Alberta,Café,45.55910490828278,-122.64245820134802,4a6b8241f964a520e2ce1fe3,ALAMEDA,45.5486307,-122.6364806
Bollywood Theater,Indian Restaurant,45.559269605343076,-122.64401106308159,4f5ac839e4b0cfc5e03e4db2,ALAMEDA,45.5486307,-122.6364806
Dar Salam,Middle Eastern Restaurant,45.559186,-122.635327,4f24d123e4b063d400fb6e5e,ALAMEDA,45.5486307,-122.6364806
La Sirenita,Mexican Restaurant,45.559120845568074,-122.63656363875089,423a1a00f964a52038201fe3,ALAMEDA,45.5486307,-122.6364806
Just Bob,Café,45.559155254660986,-122.6408650971822,59f11692bfc6d0068d80f4f4,ALAMEDA,45.5486307,-122.6364806
Petite Provence of Alberta,Bakery,45.558921,-122.646213,4ad23869f964a5202be020e3,ALAMEDA,45.5486307,-122.6364806
Back to Eden Bakery,Gluten-free Restaurant,45.55921,-122.64258,4ab91996f964a520007e20e3,ALAMEDA,45.5486307,-122.6364806
Little Griddle,Breakfast Spot,45.548590999999995,-122.62003700000001,5a2d90553abcaf0b0c7f34f7,ALAMEDA,45.5486307,-122.6364806
T.C. O'Leary's,Irish Pub,45.558994008632006,-122.6352249739212,583b3c4394c6904b80b8411b,ALAMEDA,45.5486307,-122.6364806
Verdigris,French Restaurant,45.548344398279504,-122.65241094907383,549724e3498e855d5f8263c8,ALAMEDA,45.5486307,-122.6364806
Vita Cafe,Café,45.55903248319137,-122.63438392875833,4197f180f964a520191e1fe3,ALAMEDA,45.5486307,-122.6364806
Ciao Vito,Italian Restaurant,45.55915340749966,-122.64265597321578,4aea58a8f964a52025bb21e3,ALAMEDA,45.5486307,-122.6364806
Stella Taco,Taco Place,45.55898630592417,-122.63500068435022,53ba3b71498ef8731ff1eaf6,ALAMEDA,45.5486307,-122.6364806
"batter, griddle & drinkery",Breakfast Spot,45.54836041549894,-122.61782409562011,53c2e425498e0066aa65208b,ALAMEDA,45.5486307,-122.6364806
Boxer Ramen,Noodle House,45.559041572748264,-122.6441480583988,54c1a4dd498ee9f756657f4c,ALAMEDA,45.5486307,-122.6364806
The Waffle Window,Breakfast Spot,45.55903916527221,-122.63854875969488,4fc3aab6e4b09bd24f750e73,ALAMEDA,45.5486307,-122.6364806
La Bonita,Mexican Restaurant,45.5590977905184,-122.63606096792867,4a1c89f9f964a5204a7b1fe3,ALAMEDA,45.5486307,-122.6364806
Coco Donuts,Donut Shop,45.535287224073706,-122.63729438003287,4fcbba65e4b068d42038e006,ALAMEDA,45.5486307,-122.6364806
Bagel Land,Bagel Shop,45.548346647928476,-122.62031661123238,4a96fb02f964a520d12720e3,ALAMEDA,45.5486307,-122.6364806
Thai Noon,Thai Restaurant,45.55914648098888,-122.63828659890447,4a405895f964a52084a41fe3,ALAMEDA,45.5486307,-122.6364806
Pizzicato,Pizza Place,45.54843020364399,-122.62002902557577,4ace9e3bf964a52075d120e3,ALAMEDA,45.5486307,-122.6364806
Aviary,New American Restaurant,45.5592624903708,-122.64719660486172,4d48c007782f370468d36437,ALAMEDA,45.5486307,-122.6364806
El Nutri Taco,Mexican Restaurant,45.559026593114076,-122.64325388733518,4c85424cd8086dcbcb4a9052,ALAMEDA,45.5486307,-122.6364806
Bunk Sandwiches,Sandwich Place,45.55912566898384,-122.64436794563888,52efd7bb498e631c27831da3,ALAMEDA,45.5486307,-122.6364806
Via Chicago,Pizza Place,45.559135421679926,-122.64444650555858,510dd460e4b0eaff7baefc73,ALAMEDA,45.5486307,-122.6364806
Grand Central Baking Company,Bakery,45.548314137295925,-122.6172803758616,500d60b7e4b05322f274a24e,ALAMEDA,45.5486307,-122.6364806
Caffé Destino,Café,45.54835608195407,-122.65198036735293,4a73219af964a520a1db1fe3,ALAMEDA,45.5486307,-122.6364806
Kim Jong Grillin',Korean Restaurant,45.558896000000004,-122.63856000000001,55710327498ebb629ad77d0e,ALAMEDA,45.5486307,-122.6364806
Papa Murphy's,Pizza Place,45.54868125230608,-122.65105004240154,4a9892abf964a520bf2c20e3,ALAMEDA,45.5486307,-122.6364806
